usage_id,customer_id,feature_name,session_date,session_duration_seconds,usage_count,device,session_id
USG-008651,CUST-0449,data_pipeline,2025-02-26T00:00:00,5446,73,MOBILE,SES-636619
USG-006376,CUST-0142,integrations,"Oct 02, 2025",2322,198,API,SES-371861
USG-002923,CUST-0043,dashboard,03-Oct-2025,1341,150,desktop,SES-499701
USG-003372,CUST-0312,data_pipeline,05-Apr-2024,5388,153,,SES-833244
USG-006684,CUST-0113,automations,04/11/2025 00:00,2653,124,Desktop,SES-548950
USG-002141,CUST-0439,advanced_search,2024/02/11,1924,44,Web,SES-559920
USG-002633,CUST-0042,sandbox,03-13-2025,0,80,,SES-757162
USG-007935,CUST-0339,integrations,19-Oct-2024,0,12,API,SES-103067
USG-006590,CUST-0453,analytics,08/04/2024,3236,122,,SES-344168
USG-005405,CUST-0367,automations,02-Mar-2025,6193,167,mobile,SES-235667
USG-008284,CUST-0124,sandbox,2025/07/21,1574,11,web,SES-386137
USG-009172,CUST-0142,white_label,2025-03-26T00:00:00,5559,160,mobile,SES-182802
USG-006788,CUST-0204,webhooks,19/12/2025,4517,31,,SES-887120
USG-009019,CUST-0010,data_pipeline,25/05/2024,595,10,MOBILE,SES-978417
USG-003451,CUST-0457,custom_reports,"Mar 23, 2025",712,183,MOBILE,SES-736309
USG-007796,CUST-0354,custom_reports,2024-03-10,3410,192,Desktop,SES-754308
USG-003746,CUST-0177,advanceed_search,2024/01/31,4869,168,MOBILE,SES-361598
USG-005944,CUST-0228,sso,2025/07/02,3019,64726,desktop,SES-610614
USG-008074,CUST-0478,bulk_export,2025-01-18,3687,58,MOBILE,SES-119388
USG-003057,CUST-0353,integrations,22/07/2024,1112,92,api,SES-425992
USG-001306,CUST-0178,automations,07/10/2024 00:00,2215,155,web,SES-707736
USG-004772,CUST-0324,automations,17-Sep-2025,270,119,MOBILE,SES-167298
USG-005630,CUST-0446,integrations,2024-01-07,-1,14,api,SES-605410
USG-005208,CUST-0300,team_management,10-Jan-2025,2357,115,api,SES-795719
USG-002581,CUST-0106,team_management,2025/02/16,4346,11,,SES-322538
USG-007312,CUST-0229,audit_log,02-26-2024,6899,161,Desktop,SES-345280
USG-001199,CUST-0351,team_management,30/07/2025,4366,152,api,SES-588940
USG-005159,CUST-0360,integrations,"Dec 30, 2024",5023,46,mobile,SES-329331
USG-008158,CUST-0011,api_access,02-09-2024,3713,20,API,SES-822984
USG-006538,CUST-0005,data_pipeline,"Sep 30, 2025",132,3,MOBILE,SES-532574
USG-007154,CUST-0170,bulk_export,18/09/2024,-120,167,mobile,SES-137352
USG-000839,CUST-0066,sso,2024-02-26,4089,44,web,SES-632938
USG-005354,CUST-0162,alerts,"Mar 07, 2024",1883,91,api,SES-218475
USG-005611,CUST-0326,analytics,2025/10/21,1483,94,mobile,SES-288937
USG-009485,CUST-0031,bulk_export,2025-11-28T00:00:00,2021,173,desktop,SES-421089
USG-008616,CUST-0053,api_access,10-24-2024,4057,167,web,SES-709011
USG-009135,CUST-0351,sandbox,11/11/2024,5999,142,api,SES-246911
USG-006680,CUST-0417,dashbaord,2025-07-05,761,42,mobile,SES-563487
USG-005143,,white_label,2025-07-31T00:00:00,722,145,api,SES-390438
USG-003470,CUST-0412,analytics,2024/12/16,2875,143,Web,SES-612361
USG-004688,CUST-0016,bulk_export,05-12-2025,6446,11,api,SES-345365
USG-001268,CUST-0461,data_pipeline,2024-02-14T00:00:00,6589,143,desktop,SES-873793
USG-002357,CUST-0032,white_label,01-30-2025,4698,165,Desktop,SES-257542
USG-002621,CUST-0447,api_access,2024-01-14T00:00:00,4553,120,Desktop,SES-471911
USG-005323,CUST-0019,webhooks,2025/03/03,2662,134,,SES-853565
USG-006050,,webhooks,2025-10-15,62,163,web,SES-451137
USG-008717,CUST-0332,dashboard,08/05/2025 00:00,3609,12,MOBILE,SES-464351
USG-005530,CUST-0084,sso,"Sep 15, 2024",603,187,API,SES-847637
USG-001855,CUST-0191,white_label,02-21-2024,3193,102,Desktop,SES-118504
USG-006385,CUST-0232,sandbox,06/05/2024 00:00,6884,75,mobile,SES-749196
USG-007393,CUST-0326,custm_reports,15/10/2024,7193,106,MOBILE,SES-202344
USG-007183,CUST-0289,integrations,2025/07/30,1792,148,web,SES-713521
USG-006891,CUST-0076,audit_log,2024-03-17T00:00:00,566,66,desktop,SES-469588
USG-001612,CUST-0383,white_label,28/11/2025,235,21,mobile,SES-779534
USG-009959,CUST-0403,bulk_export,22/06/2025,2113,94,web,SES-527326
USG-001745,CUST-0227,webhooks,25/04/2025,5801,102,Web,SES-694806
USG-004997,CUST-0404,webhooks,2024-09-01,1097,38,Web,SES-551578
USG-006289,CUST-0150,alerts,04/03/2024,2442,5,,SES-149812
USG-000286,CUST-0401,webhooks,28-Nov-2025,1231,4,api,SES-222029
USG-001481,CUST-0176,analytics,07/08/2024,4476,53,API,SES-846241
USG-001695,CUST-0091,bulk_export,2024-12-02,569,136,MOBILE,SES-946713
USG-009791,CUST-0159,advanced_search,08/01/2025 00:00,6537,151,web,SES-498028
USG-003480,CUST-0314,api_access,10/11/2025,5327,12,Desktop,SES-229142
USG-008609,,team_management,15-Apr-2025,-1,174,desktop,SES-346174
USG-008683,CUST-0276,analytics,"Mar 25, 2024",5359,52,Desktop,SES-888109
USG-004728,CUST-0143,team_management,2024-12-11T00:00:00,5660,121,,SES-194190
USG-003100,CUST-0383,bulk_export,2024/03/03,112,37,MOBILE,SES-105274
USG-008040,CUST-0401,sandbox,22/06/2024,6695,126,API,SES-798815
USG-009084,CUST-0472,alerts,"May 13, 2025",1396,123,,SES-873100
USG-005024,CUST-0109,sandbox,2025-04-16T00:00:00,4753,147,mobile,SES-142564
USG-005960,CUST-0045,api_access,2024-02-24T00:00:00,5696,18,web,SES-817312
USG-008704,CUST-0358,team_management,2024/07/28,4350,123,mobile,SES-883440
USG-003844,CUST-0399,data_pipeline,08-09-2025,6254,124,Web,SES-546014
USG-001104,CUST-0272,white_label,02-09-2024,1883,71,Desktop,SES-464990
USG-002295,CUST-0108,white_label,27/06/2024,2564,96,desktop,SES-355286
USG-003422,CUST-0446,audit_log,2024-07-15T00:00:00,5858,144,Web,SES-364636
USG-008167,CUST-0436,dashboard,"May 23, 2024",856,141,Desktop,SES-310270
USG-006118,CUST-0232,integrations,2025-11-22T00:00:00,7002,29,api,SES-267786
USG-002623,CUST-0241,sso,05/04/2024,1215,22,desktop,SES-125687
USG-001598,CUST-0271,advanced_search,2024-06-05,5936,173,api,SES-162886
USG-003504,CUST-0404,analytics,10-14-2024,3712,113,desktop,SES-417748
USG-000983,CUST-0408,data_pipeline,2025-11-28,3210,186,web,SES-257965
USG-004873,CUST-0167,bulk_export,07-21-2024,5695,136,API,SES-877269
USG-001686,CUST-0044,sandbox,2024-10-23T00:00:00,6487,82,desktop,SES-167469
USG-007325,CUST-0218,advanced_search,2025/11/27,4776,47,api,SES-707544
USG-008516,CUST-0038,sso,13/05/2025,7174,22,,SES-714348
USG-006848,CUST-0199,custom_reports,23/01/2024,6987,188,Web,SES-343714
USG-008202,CUST-0393,white_label,03-31-2024,2474,146,Web,SES-329940
USG-005377,CUST-0370,integrations,13/10/2024,564,131,Web,SES-103413
USG-009414,CUST-0375,bulk_export,2025/01/20,7199,75,API,SES-718812
USG-005018,CUST-0108,sso,07-Sep-2024,58,22,Desktop,SES-170623
USG-005480,CUST-0099,sso,2025-08-16,5636,45,desktop,SES-995647
USG-008363,CUST-0141,alerts,"Oct 13, 2025",1695,71,desktop,SES-349708
USG-009416,CUST-0254,dashboard,"Feb 25, 2025",3095,161,MOBILE,SES-825881
USG-004686,CUST-0275,webhooks,01/08/2024,4231,93,Web,SES-527003
USG-008209,CUST-0310,team_management,2025-08-14T00:00:00,5215,23,desktop,SES-160484
USG-001887,CUST-0275,data_pipeline,12-24-2025,3965,115,web,SES-194131
USG-009780,CUST-0241,custom_reports,2025-08-03,7194,72,,SES-104495
USG-001856,CUST-0384,custom_reports,02-09-2025,5485,85,,SES-792512
USG-000346,CUST-0416,audit_log,2024/05/13,4851,177,api,SES-989775
USG-000192,,dashboard,"Dec 08, 2025",4434,122,desktop,SES-241888
USG-009130,CUST-0011,api_access,2024-07-09,2688,37,mobile,SES-314395
USG-004551,CUST-0351,team_management,20/03/2024,2647,90,desktop,SES-642159
USG-002225,CUST-0071,api_access,05/08/2024,2572,20,MOBILE,SES-582610
USG-006671,CUST-0492,advanced_search,04/03/2025,2683,47,MOBILE,SES-170512
USG-001049,CUST-0103,api_access,03/04/2024,2756,48,mobile,SES-405028
USG-009449,CUST-0171,webhooks,2025-09-29,617,156,web,SES-224843
USG-001476,CUST-0038,bulk_export,23/01/2024,6040,72,web,SES-354469
USG-004923,CUST-0256,white_label,01-Dec-2024,2136,122,Desktop,SES-103838
USG-007088,CUST-0371,custom_reports,12-13-2024,3215,106,api,SES-745965
USG-005958,,advanced_search,2024-11-04T00:00:00,515,170,Web,SES-510703
USG-001198,CUST-0466,bulk_export,2024-07-24,5123,92,api,SES-826432
USG-006441,CUST-0110,team_management,03/12/2025,1722,48,Desktop,SES-350125
USG-008240,CUST-0469,team_management,29/06/2024,408,47,API,SES-229969
USG-000163,CUST-0225,api_access,07-09-2024,5373,117,MOBILE,SES-452279
USG-008057,CUST-0115,intergrations,07/13/2025 00:00,4146,117,desktop,SES-411115
USG-003065,,api_access,09-13-2025,509,48,Desktop,SES-918994
USG-009493,CUST-0335,bulk_export,06-25-2024,1055,82698,api,SES-833795
USG-009155,,alerts,25-Jul-2025,6674,163,API,SES-653440
USG-006402,CUST-0345,data_pipeline,09/27/2025 00:00,3528,101,desktop,SES-908689
USG-008292,CUST-0028,advanced_search,2024-02-06T00:00:00,1850,61,api,SES-397420
USG-002655,CUST-0066,dashboard,28/12/2025,6584,58,Desktop,SES-768718
USG-002365,CUST-0453,sso,30/09/2025,2850,14,api,SES-108907
USG-008135,CUST-0405,data_pipeline,2025-08-08T00:00:00,187,54,api,SES-450014
USG-000038,CUST-0415,automations,"Feb 06, 2024",3180,156,mobile,SES-663331
USG-006356,CUST-0282,advanced_search,01/18/2024 00:00,1813,181,,SES-540714
USG-007035,CUST-0143,dashboard,03-17-2024,7079,146,mobile,SES-186766
USG-005506,CUST-0481,analytics,2025-08-24T00:00:00,-120,60,MOBILE,SES-411443
USG-006995,CUST-0460,team_management,2024-09-17,5216,99486,Web,SES-706230
USG-009144,CUST-0216,audit_log,2025-08-28T00:00:00,2494,148,Desktop,SES-245773
USG-003384,CUST-0165,analytics,03-12-2025,5435,51,,SES-415242
USG-001871,CUST-0497,webhooks,02/03/2025,2462,138,api,SES-444093
USG-004619,CUST-0008,team_management,24-May-2024,4736,73,web,SES-662843
USG-007639,CUST-0039,data_pipeline,"Jul 04, 2024",550,196,mobile,SES-312143
USG-003090,CUST-0125,automations,26/11/2024,1576,182,Web,SES-794431
USG-000221,CUST-0311,webhooks,2025/01/01,2990,131,MOBILE,SES-255253
USG-002492,CUST-0054,white_label,"Feb 01, 2024",2324,145,desktop,SES-603225
USG-000851,CUST-0141,white_label,02/18/2025 00:00,6700,162,web,SES-855939
USG-008032,CUST-0259,data_pipeline,27/02/2025,5720,174,mobile,SES-858719
USG-008801,CUST-0143,automations,"Nov 11, 2025",6643,194,,SES-907047
USG-004721,CUST-0430,integrations,11-17-2025,2798,75,desktop,SES-805318
USG-003424,CUST-0247,integrations,25-Mar-2025,4116,99,desktop,SES-105510
USG-001041,CUST-0097,custom_reports,2024-12-27T00:00:00,2200,16,,SES-385811
USG-006685,CUST-0412,webhooks,09-04-2024,2688,112,Desktop,SES-599876
USG-009202,CUST-0077,api_access,04-Nov-2025,6680,138,,SES-841567
USG-007674,CUST-0079,automations,2024/10/14,2804,70159,MOBILE,SES-191325
USG-000366,CUST-0001,analytics,09/03/2024,6328,54,Desktop,SES-942977
USG-008686,,analytics,2024-11-26,42,25,API,SES-823047
USG-006578,CUST-0042,webhooks,2024-12-13,5515,13,Web,SES-514871
USG-003606,CUST-0023,alerts,"Mar 08, 2024",6288,24,api,SES-864081
USG-004586,CUST-0227,sso,04/22/2024 00:00,5363,86,web,SES-302755
USG-005364,CUST-0439,dashboard,06-03-2024,3698,4,mobile,SES-243460
USG-003766,CUST-0385,dashboard,2025-06-23,2185,179,MOBILE,SES-292824
USG-002083,CUST-0322,audit_log,2025-06-25T00:00:00,5726,87,desktop,SES-626482
USG-006058,CUST-0374,team_management,05/12/2024 00:00,4855,17,web,SES-555155
USG-005450,CUST-0258,white_label,28-Dec-2025,-1,32,desktop,SES-374065
USG-006021,CUST-0311,data_pipeline,"May 20, 2024",217,156,Web,SES-443947
USG-002576,CUST-0149,integrations,04/09/2024 00:00,6089,147,,SES-558994
USG-003765,CUST-0035,dashboard,09-Nov-2025,6948,66,api,SES-343264
USG-005000,CUST-0390,bulk_exprot,"Oct 31, 2024",7102,96,Desktop,SES-164054
USG-003223,CUST-0066,sandbox,06-Apr-2024,1103,137,Desktop,SES-786837
USG-005647,CUST-0170,analytics,11/12/2024 00:00,4108,167,Web,SES-387577
USG-006906,CUST-0070,team_management,05/06/2024 00:00,2238,168,web,SES-951598
USG-008174,CUST-0248,bulk_export,20-Nov-2024,7109,194,mobile,SES-521588
USG-001097,CUST-0398,automations,11-01-2024,678,133,MOBILE,SES-887699
USG-008423,CUST-0280,integrations,2025/07/24,650,19,web,SES-701271
USG-006328,CUST-0318,bulk_export,"Apr 14, 2024",2676,101,API,SES-286864
USG-007865,CUST-0110,analytics,05/08/2024,4089,15,mobile,SES-896697
USG-001330,CUST-0296,custom_reports,2025-02-27T00:00:00,7121,171,Desktop,SES-916293
USG-002988,CUST-0396,audit_log,06-Jan-2024,1144,76,mobile,SES-520080
USG-003110,CUST-0359,alerts,2024-01-10T00:00:00,2325,117,api,SES-420889
USG-009363,CUST-0055,automations,11/22/2024 00:00,4231,173,,SES-702047
USG-005445,CUST-0301,advanced_search,2024-01-28T00:00:00,3428,70,api,SES-182788
USG-002677,CUST-0182,advanced_search,2025/09/02,2688,154,MOBILE,SES-668659
USG-005868,CUST-0043,integrations,2025-01-08T00:00:00,1612,137,mobile,SES-626087
USG-009329,CUST-0319,audit_log,17/07/2025,4539,196,mobile,SES-156839
USG-002915,CUST-0195,white_label,10-03-2024,4226,11,Desktop,SES-992750
USG-002413,CUST-0103,api_access,04-03-2025,6478,70,Web,SES-272884
USG-001375,CUST-0077,dashboard,2025/01/06,6567,112,Web,SES-353004
USG-004531,,sso,03/16/2024 00:00,50,179,web,SES-125709
USG-001860,CUST-0497,team_management,"Dec 17, 2025",6415,132,api,SES-688032
USG-005101,CUST-0020,automations,04-14-2025,4804,10,Web,SES-538683
USG-000759,CUST-0394,webhooks,10-13-2024,309,166,Desktop,SES-620985
USG-009612,CUST-0497,webhooks,"Sep 15, 2025",2893,80,mobile,SES-129248
USG-001933,CUST-0314,dashboard,2024/03/10,1894,75,desktop,SES-200419
USG-004161,CUST-0239,alerts,25-Jul-2024,1245,99,Desktop,SES-478264
USG-008308,CUST-0134,white_label,10/13/2024 00:00,7054,44,desktop,SES-768517
USG-004800,CUST-0493,sso,2025-09-23,5741,15,Web,SES-213340
USG-004698,CUST-0362,webhooks,30-Jun-2025,6089,154,desktop,SES-129185
USG-009708,CUST-0479,audit_logg,2025-12-20T00:00:00,0,29,,SES-397563
USG-003208,CUST-0033,automations,03/10/2024,-60,1,desktop,SES-595909
USG-001800,CUST-0469,team_management,17/01/2024,4021,24,web,SES-143443
USG-007366,CUST-0263,analytics,15-Feb-2024,5605,156,api,SES-744100
USG-000916,CUST-0197,white_label,06-Mar-2025,1114,36,web,SES-413013
USG-009488,CUST-0179,bulk_export,04-11-2024,452,46,,SES-391757
USG-009211,CUST-0287,integrations,2025/10/15,7041,94,Desktop,SES-309854
USG-009386,CUST-0500,analytics,2025-02-23T00:00:00,4742,69,mobile,SES-265083
USG-003448,CUST-0392,audit_log,2025-05-25T00:00:00,3960,57,Desktop,SES-447635
USG-001802,CUST-0154,white_label,"Dec 12, 2025",5331,182,MOBILE,SES-688063
USG-001453,CUST-0214,advanced_search,27-Dec-2024,6199,57,desktop,SES-536773
USG-006091,,data_pipeline,2024-12-05,4363,91,MOBILE,SES-739858
USG-006935,CUST-0092,dashbaord,2025-05-25T00:00:00,3991,39,API,SES-592659
USG-001253,CUST-0435,analytics,04/13/2025 00:00,6667,80,MOBILE,SES-136162
USG-002352,,api_access,2024-11-01,1325,21,mobile,SES-746920
USG-009795,CUST-0302,integrations,2025-10-18,7179,177,MOBILE,SES-568227
USG-007510,CUST-0137,bulk_export,2025/03/07,621,39,desktop,SES-537210
USG-000840,CUST-0275,white_label,02/08/2024 00:00,2574,18,API,SES-556748
USG-004023,CUST-0355,alerts,2024/02/07,6696,9,API,SES-651103
USG-009120,CUST-0443,audit_log,2025/12/03,6461,127,api,SES-698290
USG-004790,CUST-0114,audit_log,07-22-2025,5427,29,,SES-786047
USG-001574,CUST-0447,sandbox,07-06-2024,5315,122,Desktop,SES-155807
USG-003117,CUST-0001,integrations,03-Oct-2025,5422,44,mobile,SES-424280
USG-008186,CUST-0057,advanced_search,2024-02-01,0,45,MOBILE,SES-780092
USG-002771,CUST-0087,integrations,02-12-2024,4809,123,web,SES-838557
USG-005728,CUST-0224,bulk_exprot,2024/10/12,3288,73,Desktop,SES-444837
USG-001317,CUST-0246,alerts,23-Oct-2025,396,20,Web,SES-235777
USG-009149,CUST-0430,integrations,2025-10-11,4426,198,web,SES-110532
