invoice_id,customer_id,subscription_id,issue_date,due_date,subtotal,tax,total,paid_amount,payment_status,paid_date,payment_method,currency
INV-01286,CUST-0089,SUB-00719,29/03/2024,2024-04-13T00:00:00,1169.56,210.52,1380.08,1380.08,paid,2024/04/13,Credit Card,AED
INV-02705,CUST-0070,SUB-00620,2022/08/27,26-Sep-2022,AED 775.52,AED 77.55,AED 853.07,AED 380.36,partial,2022-10-26T00:00:00,Credit Card,USD
INV-00074,CUST-0320,SUB-00307,12/25/2023 00:00,2024/02/23,AED 160.61,AED 39.54,AED 173.46,AED 173.46,paid,"Mar 24, 2024",Credit Card,USD
INV-01403,CUST-0133,SUB-00597,08/16/2025 00:00,08-31-2025,$889.47,$160.10,$1049.57,$1049.57,paid,10/15/2025 00:00,paypal,USD
INV-01851,CUST-0117,SUB-09329,2023/12/09,2024-01-08T00:00:00,USD 599.66,USD 0.00,USD 599.66,USD 599.66,paid,13/01/2024,paypal,USD
INV-00392,CUST-0326,SUB-00716,06/17/2025 00:00,2025/08/16,$ 1182.70,$ 0.00,$ 1182.70,$ 946.65,partial,2025-08-18T00:00:00,credit_card,USD
INV-02014,CUST-0449,SUB-00745,2024/08/11,"Sep 10, 2024",$ 530.70,$ 0.00,$ 530.70,$ 530.70,paid,09-25-2024,PAYPAL,USD
INV-02829,CUST-0333,SUB-00319,01-Dec-2022,01-30-2023,$431.77,$21.59,$453.36,$453.36,paid,"Mar 16, 2023",wire,AED
INV-00795,CUST-0101,SUB-00369,"Nov 10, 2025",10/12/2025,$ 235.06,$ 11.75,$ 246.81,$ 246.81,paid,2025/12/09,paypal,AED
INV-02493,CUST-0149,SUB-00556,2023-10-08,2023/11/07,$117.23,$11.72,$128.95,$128.95,paid,2023-11-17,Credit Card,USD
INV-00934,CUST-0366,SUB-00624,06-02-2023,2023-07-02T00:00:00,$409.65,$53.25,$462.90,$462.90,paid,31/08/2023,,EUR
INV-01157,CUST-0060,SUB-00010,07-28-2022,"Sep 11, 2022",$281.43,$0.00,$281.43,$281.43,paid,09-12-2022,bank_transfer,EUR
INV-02824,CUST-0489,SUB-00745,30/05/2023,2023-07-14,AED 860.03,AED 172.01,AED 1032.04,AED 1032.04,paid,"Jul 14, 2023",credit_card,USD
INV-01421,CUST-0184,SUB-00092,2023-05-19,07/18/2023 00:00,$ 322.82,$ 32.28,$ 355.10,$ 355.10,paid,10-16-2023,credit_card,USD
INV-00479,CUST-0284,SUB-00130,12/02/2023 00:00,12/17/2023 00:00,$141.93,$18.45,$160.38,$160.38,paid,2024-03-16T00:00:00,PAYPAL,GBP
INV-00028,CUST-0336,SUB-00092,"Aug 08, 2024",07/09/2024,$382.19,$38.22,$420.41,$420.41,paid,2024/09/12,paypal,USD
INV-02661,CUST-0359,SUB-00398,03/29/2025 00:00,2025-04-28T00:00:00,780.61,104.05,780.61,0.00,Overdue,,paypal,USD
INV-01866,CUST-0110,SUB-00041,2023/05/06,21/05/2023,$1196.57,$239.31,$1435.88,$1435.88,paid,2023-08-19,,GBP
INV-00939,CUST-0104,SUB-00225,2022-10-04,11-03-2022,$947.75,$0.00,$947.75,$947.75,paid,01-02-2023,credit_card,EUR
INV-01574,CUST-0322,SUB-00695,05-06-2023,06/05/2023 00:00,$159.95,$12.80,$172.75,$172.75,paid,2023-06-05T00:00:00,bank_transfer,EUR
INV-01383,CUST-0122,SUB-00311,01/23/2025 00:00,2025-02-22,$147.17,$11.77,$158.94,0,unpaid,null,bank_transfer,USD
INV-02662,CUST-0327,SUB-00655,02-12-2025,14-Mar-2025,$908.72,$72.70,$981.42,$981.42,paid,04/03/2025 00:00,bank_transfer,AED
INV-02327,CUST-0112,SUB-00462,12-24-2024,23/01/2025,908.65,163.56,1072.21,1072.21,paid,02/07/2025 00:00,paypal,EUR
INV-00345,CUST-0469,SUB-00691,11-12-2024,27/11/2024,EUR 142.52,EUR 11.40,EUR 153.92,EUR 153.92,paid,30-Nov-2024,Credit Card,USD
INV-02036,CUST-0098,SUB-00611,2025/06/28,07-28-2025,$ 1145.70,$ 0.00,$ 1145.70,$ 1145.70,paid,2025-07-26,bank_transfer,AED
INV-02126,CUST-0070,SUB-00539,2024-12-05T00:00:00,04/01/2025,$333.72,$43.38,$377.10,$227.79,partial,"Jan 11, 2025",credit_card,GBP
INV-00725,CUST-0265,SUB-00352,2025-05-16T00:00:00,06/30/2025 00:00,523.45,68.05,591.50,591.50,paid,07-20-2025,paypal,EUR
INV-02987,CUST-0059,SUB-00179,15/07/2024,"Aug 14, 2024",AED 1121.45,AED 112.15,AED 1233.60,AED 1233.60,paid,08/29/2024 00:00,credit_card,USD
INV-01147,CUST-0359,SUB-00202,03/09/2023 00:00,2023/04/08,$ 583.59,$ 0.00,$ 583.59,$ 583.59,paid,04/07/2023 00:00,Credit Card,USD
INV-01861,CUST-0031,SUB-00724,2025-06-16,2025-07-31,$867.06,$112.72,$979.78,$979.78,paid,07/31/2025 00:00,Credit Card,USD
INV-01948,CUST-0208,SUB-00295,"Jan 11, 2023","Feb 10, 2023",$332.52,$0.00,$332.52,$332.52,paid,2023-02-25T00:00:00,wire,USD
INV-02470,CUST-0189,SUB-00183,09-Jul-2023,24/07/2023,AED 576.48,AED 21.56,AED 605.30,AED 605.30,paid,2023/09/07,wire,USD
INV-02487,CUST-0306,SUB-00236,12/01/2025,2025/02/11,EUR 1074.09,EUR 107.41,EUR 1181.50,EUR 1181.50,paid,2025-04-12,bank_transfer,GBP
INV-00142,CUST-0373,SUB-00690,"Mar 22, 2024",2024-05-06T00:00:00,836.70,83.67,920.37,0,UNPAID,null,credit_card,GBP
INV-00547,CUST-0150,SUB-00688,2025/06/09,09/07/2025,$195.15,$25.37,$220.52,$220.52,paid,2025-10-07T00:00:00,paypal,USD
INV-00414,CUST-0257,SUB-00155,06/09/2024,06/10/2024,AED 862.86,AED 147.29,AED 1035.43,AED 1035.43,paid,12-05-2024,wire,AED
INV-00877,CUST-0233,SUB-00479,2024-05-10T00:00:00,2024-06-09T00:00:00,$928.48,$74.28,$1002.76,$1002.76,paid,08/08/2024 00:00,credit_card,EUR
INV-01301,CUST-0410,SUB-00111,03-06-2023,2023/03/21,AED 1063.27,AED 0.00,AED 1063.27,AED 1063.27,paid,04-10-2023,wire,EUR
INV-02871,CUST-0045,SUB-00265,23/06/2025,07-23-2025,USD 110.78,USD 11.08,USD 121.86,USD 121.86,paid,2025-07-22T00:00:00,wire,EUR
INV-01926,CUST-0426,SUB-00697,2024-11-12T00:00:00,"Dec 12, 2024",EUR 1135.37,EUR 0.00,EUR 1135.37,EUR 1135.37,paid,02/10/2025 00:00,credit_card,USD
INV-01204,CUST-0346,SUB-00266,2023-08-08T00:00:00,"Oct 07, 2023",$416.28,$83.26,$499.54,$499.54,paid,06-Oct-2023,credit_card,GBP
INV-02942,CUST-0086,SUB-00072,2023/09/12,12/10/2023,$140.14,$25.23,$165.37,$165.37,paid,"Oct 22, 2023",credit_card,GBP
INV-00380,CUST-0013,SUB-00116,03/11/2025 00:00,2025-04-10,$ 323.14,$ 58.17,$ 381.31,$ 303.74,partial,"Apr 24, 2025",,EUR
INV-01606,CUST-0051,SUB-00586,07-20-2022,04/08/2022,1172.81,117.28,1290.09,650.21,partial,2022-08-06T00:00:00,Credit Card,USD
INV-00657,CUST-0363,SUB-00673,2022-09-14,2022/10/29,1009.01,80.72,1089.73,1089.73,paid,27/01/2023,PAYPAL,GBP
INV-01589,CUST-0188,SUB-00200,03-09-2025,08/04/2025,$387.53,$0.00,$387.53,$387.53,paid,2025/04/07,,GBP
INV-01618,CUST-0452,SUB-00616,20/05/2025,19-Jul-2025,$351.09,$17.55,$368.64,$368.64,paid,2025-07-18T00:00:00,,USD
INV-02029,CUST-0075,SUB-00047,13/08/2022,2022-09-12,$490.86,$63.81,$554.67,$554.67,paid,"Oct 27, 2022",,USD
INV-02459,CUST-0301,SUB-00682,07-Jun-2023,2023-08-06T00:00:00,$210.75,$21.08,$231.83,$231.83,paid,2023/09/05,wire,GBP
INV-01597,CUST-0475,SUB-00365,2025/03/25,2025-04-09T00:00:00,$478.71,$23.94,$502.65,,UNPAID,null,PAYPAL,USD
INV-00269,CUST-0236,SUB-00683,2024-02-06,22/03/2024,$602.76,$120.55,$723.31,$723.31,paid,2024-04-11T00:00:00,,GBP
INV-02068,CUST-0011,SUB-00210,2023/04/26,05/26/2023 00:00,AED 831.69,AED 149.70,AED 981.39,AED 981.39,paid,06/15/2023 00:00,Credit Card,USD
INV-01104,CUST-0014,SUB-09724,15-Jan-2023,2023-02-14,$ 765.18,$ 61.21,$ 826.39,$ 826.39,paid,2023-03-01T00:00:00,credit_card,USD
INV-02903,CUST-0128,SUB-00370,05/01/2024,2024-02-04T00:00:00,$384.30,$69.17,$453.47,$453.47,paid,2024-02-03T00:00:00,bank_transfer,EUR
INV-01559,CUST-0466,SUB-09019,2022/06/29,2022/07/29,$1111.87,$55.59,$1167.46,$1167.46,paid,07/27/2022 00:00,paypal,USD
INV-01555,CUST-0121,SUB-00442,2025-04-06T00:00:00,05-21-2025,EUR 827.72,EUR 0.00,EUR 827.72,EUR 827.72,paid,2025/06/10,PAYPAL,EUR
INV-00395,CUST-0004,SUB-00420,2025-06-19,03-Aug-2025,USD 614.64,USD 0.00,USD 614.64,USD 614.64,paid,10-02-2025,bank_transfer,EUR
INV-01974,CUST-0191,SUB-00445,01-07-2023,2023/01/22,$924.83,$120.23,$1045.06,$1045.06,paid,21-Jan-2023,bank_transfer,AED
INV-01897,CUST-0105,SUB-00698,2025-08-26T00:00:00,25/09/2025,$521.16,$104.23,$625.39,$625.39,paid,2025-10-05T00:00:00,Credit Card,EUR
INV-00902,CUST-0259,SUB-00239,24/06/2023,07/24/2023 00:00,$ 1116.21,$ 0.00,$ 1116.21,$ 1116.21,paid,2023-09-07T00:00:00,PAYPAL,AED
INV-02031,CUST-0028,SUB-00303,2022-12-12T00:00:00,10/02/2023,$1142.80,$114.28,$1257.08,$1257.08,paid,05/11/2023 00:00,bank_transfer,EUR
INV-02759,CUST-0190,SUB-00147,20-Feb-2025,2025/03/22,$449.57,$0.00,$449.57,0.00,overdue,,paypal,USD
INV-00400,CUST-0420,SUB-00368,2023/01/03,2023/01/18,$125.20,$22.54,$147.74,$147.74,paid,02-07-2023,,USD
INV-00917,CUST-0452,SUB-00049,"Jun 12, 2023",12-Jul-2023,114.68,0.00,114.68,82.97,partial,26-Jul-2023,PAYPAL,GBP
INV-02159,CUST-0139,SUB-00673,10/03/2025 00:00,18/10/2025,709.26,0.00,709.26,709.26,paid,2025-11-07,PAYPAL,AED
INV-02481,CUST-0366,SUB-00356,"Aug 30, 2023",2023-10-14T00:00:00,AED 1076.16,AED 107.62,AED 1183.78,AED 1183.78,paid,2023-10-12T00:00:00,Credit Card,USD
INV-00676,CUST-0446,SUB-00064,18-Sep-2024,10-03-2024,$92.30,$7.38,$99.68,$99.68,paid,2024/11/02,,USD
INV-01698,CUST-0490,SUB-09870,2024/01/08,2024-02-07T00:00:00,$334.60,$16.73,$351.33,$351.33,paid,04/07/2024 00:00,paypal,GBP
INV-02932,CUST-0412,SUB-00366,2023-06-22,"Aug 21, 2023",$45.09,$2.25,$47.34,$47.34,paid,10/20/2023 00:00,wire,AED
INV-02562,CUST-0391,SUB-00338,03-13-2024,04/12/2024 00:00,$ 275.74,$ 49.63,$ 325.37,$ 325.37,paid,2024-05-27T00:00:00,paypal,USD
INV-02978,CUST-0346,SUB-00470,23/05/2025,"Jun 22, 2025",$74.19,$3.71,$77.90,$77.90,paid,08/06/2025 00:00,paypal,GBP
INV-02352,CUST-0369,SUB-09920,"Oct 10, 2025",2025-11-09T00:00:00,$851.19,$0.00,$851.19,$753.35,partial,11/10/2025 00:00,bank_transfer,USD
INV-01673,CUST-0320,SUB-00265,16/12/2023,2023/12/31,$676.43,$87.94,$764.37,$764.37,paid,14-Feb-2024,wire,AED
INV-00040,CUST-0075,SUB-00588,2025-07-02,2025-08-01T00:00:00,$77.14,$0.00,$77.14,$77.14,paid,2025-08-01,bank_transfer,AED
INV-00059,CUST-0280,SUB-00468,27/09/2024,10-12-2024,USD 532.11,USD 106.42,USD 638.53,,unpaid,,PAYPAL,USD
INV-01049,CUST-0267,SUB-00135,"Jan 27, 2025","Mar 13, 2025",$494.85,$89.07,$583.92,$583.92,paid,2025/03/23,bank_transfer,USD
INV-00556,CUST-0335,SUB-00627,2022/07/13,2022-07-28T00:00:00,$487.04,$48.70,$535.74,$535.74,paid,08-12-2022,bank_transfer,USD
INV-01604,CUST-0003,SUB-00529,"Oct 24, 2024",08-Dec-2024,753.46,60.28,813.74,341.91,partial,12/13/2024 00:00,wire,USD
INV-02684,CUST-0167,SUB-00174,2025/12/28,2026/02/26,$767.20,$76.72,$843.92,0,Overdue,,bank_transfer,EUR
INV-00562,CUST-0424,SUB-00361,04/12/2023,03/01/2024,$473.69,$94.74,$568.43,$568.43,paid,2024-03-03T00:00:00,bank_transfer,AED
INV-00179,CUST-0387,SUB-00536,22-Feb-2024,03-08-2024,$425.58,$0.00,$425.58,$425.58,paid,2024-03-28,,USD
INV-00090,CUST-0491,SUB-00515,26-Jun-2025,26/07/2025,1190.50,0.00,1190.50,,overdue,,credit_card,USD
INV-01853,CUST-0063,SUB-00243,2024-04-24T00:00:00,24/05/2024,$1051.34,$189.24,$1240.58,$1240.58,paid,08-Jul-2024,paypal,USD
INV-02669,CUST-0091,SUB-00729,2023-07-11T00:00:00,2023/07/26,EUR 418.34,EUR 33.47,EUR 451.81,EUR 451.81,paid,2023-07-25T00:00:00,PAYPAL,USD
INV-02424,CUST-0152,SUB-00023,"Oct 31, 2022",30/12/2022,$963.19,$0.00,$963.19,$963.19,paid,2023-02-13T00:00:00,paypal,AED
INV-01259,CUST-0212,SUB-00014,2025/09/04,"Oct 19, 2025",$ 116.94,$ 21.05,$ 137.99,$ 137.99,paid,2025-11-18T00:00:00,wire,USD
INV-01685,CUST-0140,SUB-00329,28-Feb-2024,04/28/2024 00:00,1135.57,0.00,1135.57,1135.57,paid,"Apr 26, 2024",Credit Card,USD
INV-01230,CUST-0048,SUB-00643,2024/09/25,2024/11/24,$587.44,$169.93,$663.81,$663.81,paid,2025-01-23T00:00:00,PAYPAL,GBP
INV-02702,CUST-0384,SUB-00382,2025/05/14,2025-07-13,$1000.96,$0.00,$1000.96,$1000.96,paid,2025-07-12T00:00:00,bank_transfer,EUR
INV-01040,CUST-0464,SUB-00795,06-Jun-2022,2022-07-06,731.11,0.00,731.11,597.68,partial,01/08/2022,PAYPAL,EUR
INV-01241,CUST-0141,SUB-00247,15/04/2023,2023/05/15,$1194.35,$119.44,$1313.79,$1313.79,paid,2023-05-16,wire,GBP
INV-02413,CUST-0457,SUB-00377,24/07/2024,08-08-2024,$113.96,$22.79,$136.75,$136.75,paid,2024-08-08T00:00:00,paypal,AED
INV-00507,CUST-0482,SUB-00535,05/30/2024 00:00,2024-06-14,$ 285.98,$ 57.20,$ 343.18,$ 343.18,paid,15/06/2024,paypal,GBP
INV-01203,CUST-0276,SUB-00360,01-Feb-2025,03-Mar-2025,AED 964.06,AED 257.47,AED 1156.87,AED 1156.87,paid,03-02-2025,PAYPAL,EUR
INV-00352,CUST-0264,SUB-00276,2023-07-03T00:00:00,"Jul 18, 2023",$613.28,$122.66,$735.94,$735.94,paid,2023-08-07,paypal,EUR
INV-00307,CUST-0216,SUB-00348,"Mar 30, 2023",29/04/2023,$365.86,$0.00,$365.86,$365.86,paid,2023/06/13,wire,USD
INV-02507,CUST-0028,SUB-00552,07-22-2025,21/08/2025,$191.97,$0.00,$191.97,$191.97,paid,10/09/2025,credit_card,EUR
INV-01991,CUST-0488,SUB-00230,01-13-2025,12/02/2025,AED 521.54,AED 0.00,AED 521.54,AED 454.35,partial,2025-02-22,credit_card,USD
INV-02199,CUST-0243,SUB-00711,2022/11/11,10/01/2023,$115.81,$9.26,$125.07,$125.07,paid,2023/01/15,credit_card,AED
INV-01382,CUST-0387,SUB-00133,2022-11-02T00:00:00,2022/12/02,364.40,65.59,429.99,429.99,paid,02-Mar-2023,wire,USD
INV-01075,CUST-0383,SUB-00384,02-20-2025,03/07/2025 00:00,$ 1129.71,$ 56.49,$ 1186.20,$ 1049.73,partial,04-05-2025,PAYPAL,AED
INV-00207,CUST-0003,SUB-00766,04/01/2024 00:00,"May 16, 2024",AED 620.89,AED 111.76,AED 732.65,AED 732.65,paid,2024/05/16,bank_transfer,USD
INV-02646,CUST-0330,SUB-00236,07-Oct-2023,11-06-2023,USD 571.79,USD 28.59,USD 600.38,USD 513.34,partial,11/21/2023 00:00,paypal,GBP
INV-02163,CUST-0137,SUB-00663,10-Dec-2024,"Feb 08, 2025",$798.80,$39.94,$838.74,$0.00,Overdue,N/A,paypal,USD
INV-00693,CUST-0289,SUB-00296,17/06/2022,07-17-2022,$289.76,$28.98,$318.74,$318.74,paid,"Aug 16, 2022",bank_transfer,USD
INV-01415,CUST-0224,SUB-00381,2022-07-27,08/11/2022 00:00,$1013.37,$131.74,$1145.11,$1145.11,paid,2022/10/10,,USD
INV-01566,CUST-0416,SUB-00581,2023/01/02,01-Feb-2023,$1123.00,$112.30,$1235.30,$1235.30,paid,"May 02, 2023",bank_transfer,GBP
INV-01835,CUST-0290,SUB-00586,02-20-2023,03/07/2023 00:00,152.21,15.22,167.43,118.62,partial,"Mar 14, 2023",,GBP
INV-02810,CUST-0136,SUB-00554,08-30-2024,2024-09-29T00:00:00,$594.20,$59.42,$653.62,$443.85,partial,2024-10-15,bank_transfer,USD
INV-01063,CUST-0105,SUB-00660,01-Aug-2022,2022/08/31,$132.28,$0.00,$132.28,$132.28,paid,2022/10/15,credit_card,AED
INV-02496,CUST-0175,SUB-00517,2022/07/06,2022-08-05,$781.92,$0.00,$781.92,$781.92,paid,08-04-2022,Credit Card,AED
INV-01268,CUST-0409,SUB-00169,2022/06/07,07-07-2022,$339.06,$0.00,$339.06,$249.38,partial,"Jul 29, 2022",wire,USD
INV-01849,CUST-0309,SUB-00761,2023-07-28,2023-09-11,$647.07,$116.47,$763.54,$763.54,paid,09/10/2023 00:00,PAYPAL,EUR
INV-02303,CUST-0316,SUB-00333,2022-11-09T00:00:00,"Nov 24, 2022",519.67,0.00,519.67,519.67,paid,22-Nov-2022,PAYPAL,EUR
INV-02263,CUST-0302,SUB-00569,06-Nov-2025,06/12/2025,$556.65,$55.66,$612.31,$266.76,partial,2025-12-29,PAYPAL,USD
INV-01254,CUST-0358,SUB-00569,10-10-2022,09/11/2022,959.39,0.00,959.39,959.39,paid,11-19-2022,wire,USD
INV-00324,CUST-0294,SUB-00485,01/31/2024 00:00,16/03/2024,970.75,0.00,970.75,970.75,paid,"Mar 15, 2024",paypal,USD
INV-02895,CUST-0140,SUB-00273,2025-02-10T00:00:00,2025-04-11T00:00:00,$234.26,$23.43,$257.69,$257.69,paid,2025/04/14,Credit Card,USD
INV-00273,CUST-0370,SUB-00650,2025-11-29,12/29/2025 00:00,748.56,0.00,748.56,748.56,paid,12/28/2025 00:00,credit_card,USD
INV-00255,CUST-0144,SUB-00685,2022-07-04T00:00:00,08/03/2022 00:00,452.69,36.22,488.91,488.91,paid,03/08/2022,credit_card,USD
INV-01501,CUST-0134,SUB-00013,2025-03-17T00:00:00,2025/05/01,$354.55,$100.87,$390.01,$390.01,paid,2025-05-11T00:00:00,credit_card,USD
INV-00203,CUST-0050,SUB-00712,2023-07-18,08/17/2023 00:00,$1197.73,$0.00,$1197.73,$1197.73,paid,2023-08-18T00:00:00,Credit Card,USD
INV-02833,CUST-0073,SUB-09577,20-Mar-2025,2025/05/19,$541.56,$0.00,$541.56,$541.56,paid,05/17/2025 00:00,bank_transfer,EUR
INV-00590,CUST-0457,SUB-00707,2024-01-28T00:00:00,"Feb 27, 2024",$708.91,$35.45,$744.36,$744.36,paid,2024/04/27,paypal,AED
INV-01879,CUST-0363,SUB-00732,2025/04/17,02-May-2025,$434.84,$0.00,$434.84,$434.84,paid,07-31-2025,bank_transfer,USD
INV-02265,CUST-0384,SUB-00184,2025/05/03,2025/06/02,EUR 761.64,EUR 0.00,EUR 761.64,EUR 761.64,paid,"Jun 01, 2025",wire,USD
INV-00862,CUST-0286,SUB-00379,02-17-2024,2024-03-18,$380.99,$68.58,$449.57,$449.57,paid,16/03/2024,credit_card,EUR
INV-00861,CUST-0044,SUB-00718,2024/12/27,01/26/2025 00:00,USD 618.45,USD 0.00,USD 618.45,USD 301.23,partial,02-22-2025,paypal,USD
INV-01281,CUST-0188,SUB-00008,14/02/2024,15-Mar-2024,$34.96,$0.00,$34.96,$0.00,Overdue,null,credit_card,AED
INV-02846,CUST-0068,SUB-00734,06-06-2024,"Jul 06, 2024",$282.09,$36.67,$318.76,$318.76,paid,04/09/2024,bank_transfer,USD
INV-00697,CUST-0381,SUB-00247,05-25-2023,24-Jun-2023,AED 181.29,AED 0.00,AED 181.29,AED 181.29,paid,06-24-2023,Credit Card,EUR
INV-01335,CUST-0164,SUB-00550,"Nov 22, 2024",12/22/2024 00:00,$ 944.48,$ 170.01,$ 1114.49,$ 1114.49,paid,01-01-2025,bank_transfer,USD
INV-02555,CUST-0419,SUB-00167,09-Jan-2023,2023/03/10,USD 169.30,USD 13.54,USD 182.84,USD 182.84,paid,"Apr 09, 2023",Credit Card,USD
INV-00857,CUST-0044,SUB-00040,2025/06/25,2025-07-25,EUR 1012.13,EUR 0.00,EUR 1012.13,,UNPAID,N/A,credit_card,AED
INV-00421,CUST-0068,SUB-00579,01-04-2023,02-03-2023,$ 279.10,$ 0.00,$ 279.10,$ 279.10,paid,02/08/2023 00:00,credit_card,EUR
INV-00521,CUST-0155,SUB-00145,07/28/2024 00:00,12/08/2024,$ 310.33,$ 90.04,$ 341.36,$ 341.36,paid,11-Sep-2024,bank_transfer,USD
INV-02433,CUST-0398,SUB-09143,2025-11-19,"Dec 19, 2025",USD 985.77,USD 177.44,USD 1163.21,USD 1163.21,paid,12-24-2025,paypal,USD
INV-02935,CUST-0367,SUB-00223,03-04-2023,2023-04-03,$397.86,$19.89,$417.75,$417.75,paid,"Apr 08, 2023",paypal,GBP
